"","a_option","b_option","original_prompt","verb","instances_prompt","duration_prompt","more_prompt"
"1","A:蝴蝶在院子里飞了","B:蜻蜓在院子里飞了飞","谁飞的次数多?","飞","A或B飞的次数多","A或B飞的时间多","A或B飞得多"
"2","A:蝴蝶在院子里飞了","B:蜻蜓在院子里飞了飞","谁飞得多?","飞","A或B飞的次数多","A或B飞的时间多","A或B飞得多"
"3","A:蝴蝶在院子里飞了","B:蜻蜓在院子里飞了飞","谁飞的时间多?","飞","A或B飞的次数多","A或B飞的时间多","A或B飞得多"
"4","A:小芳在哈尔滨的雪地里滑了","B:小李在哈尔滨的雪地里滑了滑","谁滑的次数多?","滑","A或B滑的次数多","A或B滑的时间多","A或B滑得多"
"5","A:小芳在哈尔滨的雪地里滑了","B:小李在哈尔滨的雪地里滑了滑","谁滑得多?","滑","A或B滑的次数多","A或B滑的时间多","A或B滑得多"
"6","A:小芳在哈尔滨的雪地里滑了","B:小李在哈尔滨的雪地里滑了滑","谁滑的时间多?","滑","A或B滑的次数多","A或B滑的时间多","A或B滑得多"
"7","A:今晚玛丽去庙会逛了","B:今晚凯特去庙会逛了逛","谁逛的次数多?","逛","A或B逛的次数多","A或B逛的时间多","A或B逛得多"
"8","A:今晚玛丽去庙会逛了","B:今晚凯特去庙会逛了逛","谁逛得多?","逛","A或B逛的次数多","A或B逛的时间多","A或B逛得多"
"9","A:今晚玛丽去庙会逛了","B:今晚凯特去庙会逛了逛","谁逛的时间多?","逛","A或B逛的次数多","A或B逛的时间多","A或B逛得多"
"10","A:小明在体育课跳了","B:小亮在体育课跳了跳","谁跳的次数多?","跳","A或B跳的次数多","A或B跳的时间多","A或B跳得多"
"11","A:小明在体育课跳了","B:小亮在体育课跳了跳","谁跳得多?","跳","A或B跳的次数多","A或B跳的时间多","A或B跳得多"
"12","A:小明在体育课跳了","B:小亮在体育课跳了跳","谁跳的时间多?","跳","A或B跳的次数多","A或B跳的时间多","A或B跳得多"
"13","A:有只蚕在树叶上爬了","B:有只虫在树叶上爬了爬","谁爬的次数多?","爬","A或B爬的次数多","A或B爬的时间多","A或B爬得多"
"14","A:有只蚕在树叶上爬了","B:有只虫在树叶上爬了爬","谁爬得多?","爬","A或B爬的次数多","A或B爬的时间多","A或B爬得多"
"15","A::有只蚕在树叶上爬了","B:有只虫在树叶上爬了爬","谁爬的时间多?","爬","A或B爬的次数多","A或B爬的时间多","A或B爬得多"
"16","A:小王在海里奋力向前游了","B:小赵在海里奋力向前游了游","谁游的次数多?","游","A或B游的次数多","A或B游的时间多","A或B游得多"
"17","A:小王在海里奋力向前游了","B:小赵在海里奋力向前游了游","谁游得多?","游","A或B游的次数多","A或B游的时间多","A或B游得多"
"18","A:小王在海里奋力向前游了","B:小赵在海里奋力向前游了游","谁游的时间多?","游","A或B游的次数多","A或B游的时间多","A或B游得多"
"19","A:小明的身影晃了","B:小红的身影晃了晃","谁晃的次数多?","晃","A或B晃的次数多","A或B晃的时间多","A或B晃得多"
"20","A:小明的身影晃了","B:小红的身影晃了晃","谁晃得多?","晃","A或B晃的次数多","A或B晃的时间多","A或B晃得多"
"21","A:小明的身影晃了","B:小红的身影晃了晃","谁晃的时间多?","晃","A或B晃的次数多","A或B晃的时间多","A或B晃得多"
"22","A:张三下午在公园走了","B:李四下午在公园走了走","谁走的次数多?","走","A或B走的次数多","A或B走的时间多","A或B走得多"
"23","A:张三下午在公园走了","B:李四下午在公园走了走","谁走得多?","走","A或B走的次数多","A或B走的时间多","A或B走得多"
"24","A:张三下午在公园走了","B:李四下午在公园走了走","谁走的时间多?","走","A或B走的次数多","A或B走的时间多","A或B走得多"
"25","A:红叶在小河水面上漂了","B:枯叶在小河水面上漂了漂","谁漂的次数多?","漂","A或B漂的次数多","A或B漂的时间多","A或B漂得多"
"26","A:红叶在小河水面上漂了","B:枯叶在小河水面上漂了漂","谁漂得多?","漂","A或B漂的次数多","A或B漂的时间多","A或B漂得多"
"27","A:红叶在小河水面上漂了","B:枯叶在小河水面上漂了漂","谁漂的时间多?","漂","A或B漂的次数多","A或B漂的时间多","A或B漂得多"
"28","A:小丽在操场跑了","B:小红在操场跑了跑","谁跑的次数多?","跑","A或B跑的次数多","A或B跑的时间多","A或B跑得多"
"29","A:小丽在操场跑了","B:小红在操场跑了跑","谁跑得多?","跑","A或B跑的次数多","A或B跑的时间多","A或B跑得多"
"30","A:小丽在操场跑了","B:小红在操场跑了跑","谁跑的时间多?","跑","A或B跑的次数多","A或B跑的时间多","A或B跑得多"
"31","A:王大爷傍晚出门遛了","B:李大爷傍晚出门溜了溜","谁溜的次数多?","溜","A或B溜的次数多","A或B溜的时间多","A或B溜得多"
"32","A:王大爷傍晚出门遛了","B:李大爷傍晚出门溜了溜","谁溜得多?","溜","A或B溜的次数多","A或B溜的时间多","A或B溜得多"
"33","A:王大爷傍晚出门遛了","B:李大爷傍晚出门溜了溜","谁溜的时间多?","溜","A或B溜的次数多","A或B溜的时间多","A或B溜得多"
"34","A:蜜蜂绕着花朵转了","B:蝴蝶绕着花朵转了转","谁转的次数多?","转","A或B转的次数多","A或B转的时间多","A或B转得多"
"35","A:蜜蜂绕着花朵转了","B:蝴蝶绕着花朵转了转","谁转得多?","转","A或B转的次数多","A或B转的时间多","A或B转得多"
"36","A:蜜蜂绕着花朵转了","B:蝴蝶绕着花朵转了转","谁转的时间多?","转","A或B转的次数多","A或B转的时间多","A或B转得多"
"37","A:雪花在冬日里飘了","B:柳絮在夏日里飘了飘","谁飘的次数多?","飘","A或B飘的次数多","A或B飘的时间多","A或B飘得多"
"38","A:雪花在冬日里飘了","B:柳絮在夏日里飘了飘","谁飘得多?","飘","A或B飘的次数多","A或B飘的时间多","A或B飘得多"
"39","A:雪花在冬日里飘了","B:柳絮在夏日里飘了飘","谁飘的时间多?","飘","A或B飘的次数多","A或B飘的时间多","A或B飘得多"
